property_id,user_id,rent_approval_date,block,street_name,building,postal,town,flat_type,monthly_rent,latitude,longtitude,number_of_bedrooms,floorsize,price_per_square_metre,year_built,floor_level,furnishing,lease_term,negotiable_pricing,is_visible,is_approved,property_name,property_description,created_at,gender,approval_document_url
1,1,2021-01-07 13:11:07,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,5-ROOM,2600,1.403145259,103.900666,3,119.7918594,21.70431291,2012-05-11,5,fully furnished,2 years,no,1,1,"5-ROOM @ PUNGGOL RESIDENCES, ONLY $2600/month",Interested individuals can contact me!,2021-01-07 09:11:07,female,approval_letter.pdf
2,1,2021-01-27 01:15:32,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,5-ROOM,2000,1.403145259,103.900666,3,120.3425519,16.61922544,2012-10-06,2,not furnished,3 years,no,1,1,"5-ROOM @ PUNGGOL RESIDENCES, ONLY $2000/month",Interested individuals can contact me!,2021-01-26 21:15:32,male,approval_letter.pdf
3,1,2021-02-26 23:29:53,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,4-ROOM,2300,1.403145259,103.900666,3,101.773645,22.59917093,2012-04-08,9,not furnished,short term,no,1,1,"4-ROOM @ PUNGGOL RESIDENCES, ONLY $2300/month",Interested individuals can contact me!,2021-02-26 19:29:53,mixed,approval_letter.pdf
4,1,2021-02-05 10:55:25,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,4-ROOM,2100,1.403145259,103.900666,3,99.20737555,21.16778101,2012-05-05,7,fully furnished,short term,yes,1,1,"4-ROOM @ PUNGGOL RESIDENCES, ONLY $2100/month",Interested individuals can contact me!,2021-02-05 06:55:25,mixed,approval_letter.pdf
5,1,2021-07-24 07:04:48,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,5-ROOM,2600,1.403145259,103.900666,3,121.4455313,21.40877456,2012-10-17,11,fully furnished,flexible,yes,1,1,"5-ROOM @ PUNGGOL RESIDENCES, ONLY $2600/month",Interested individuals can contact me!,2021-07-24 03:04:48,male,approval_letter.pdf
6,1,2021-09-14 09:14:13,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,4-ROOM,2500,1.403145259,103.900666,3,107.0306456,23.35779613,2012-04-10,2,fully furnished,flexible,yes,1,1,"4-ROOM @ PUNGGOL RESIDENCES, ONLY $2500/month",Interested individuals can contact me!,2021-09-14 05:14:13,mixed,approval_letter.pdf
7,1,2022-03-18 08:43:56,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,4-ROOM,2000,1.403145259,103.900666,3,97.24198009,20.56724882,2012-05-12,5,fully furnished,short term,yes,1,1,"4-ROOM @ PUNGGOL RESIDENCES, ONLY $2000/month",Interested individuals can contact me!,2022-03-18 04:43:56,female,approval_letter.pdf
8,1,2022-04-25 17:48:09,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,4-ROOM,2850,1.403145259,103.900666,3,98.3185723,28.98740221,2012-10-26,6,partially furnished,short term,yes,1,1,"4-ROOM @ PUNGGOL RESIDENCES, ONLY $2850/month",Interested individuals can contact me!,2022-04-25 13:48:09,mixed,approval_letter.pdf
9,1,2022-05-19 12:50:55,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,5-ROOM,3500,1.403145259,103.900666,3,123.4680931,28.34740467,2012-04-18,5,partially furnished,flexible,no,1,1,"5-ROOM @ PUNGGOL RESIDENCES, ONLY $3500/month",Interested individuals can contact me!,2022-05-19 08:50:55,mixed,approval_letter.pdf
10,1,2022-10-18 10:30:09,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,4-ROOM,3600,1.403145259,103.900666,3,101.6546551,35.4140201,2012-01-20,12,not furnished,2 years,yes,1,1,"4-ROOM @ PUNGGOL RESIDENCES, ONLY $3600/month",Interested individuals can contact me!,2022-10-18 06:30:09,mixed,approval_letter.pdf
