property_id,user_id,listing_date,block,street_name,building,postal,town,flat_type,monthly_rent,latitude,longtitude,num_bedrooms,floor_size,ppsm,year_built,floor_level,furnish_status,lease_term,negotiable,is_visible,is_approved
1,1,2021-01-07,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,5-ROOM,2600,1.403145259,103.900666,3,119.7918594,21.70431291,2012,5,fully furnished,2 years,no,1,1
2,1,2021-01-27,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,5-ROOM,2000,1.403145259,103.900666,3,120.3425519,16.61922544,2012,2,not furnished,3 years,no,1,1
3,1,2021-02-26,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,4-ROOM,2300,1.403145259,103.900666,3,101.773645,22.59917093,2012,9,not furnished,short term,no,1,1
4,1,2021-02-05,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,4-ROOM,2100,1.403145259,103.900666,3,99.20737555,21.16778101,2012,7,fully furnished,short term,yes,1,1
5,1,2021-07-24,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,5-ROOM,2600,1.403145259,103.900666,3,121.4455313,21.40877456,2012,11,fully furnished,flexible,yes,1,1
6,1,2021-09-14,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,4-ROOM,2500,1.403145259,103.900666,3,107.0306456,23.35779613,2012,2,fully furnished,flexible,yes,1,1
7,1,2022-03-18,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,4-ROOM,2000,1.403145259,103.900666,3,97.24198009,20.56724882,2012,5,fully furnished,short term,yes,1,1
8,1,2022-04-25,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,4-ROOM,2850,1.403145259,103.900666,3,98.3185723,28.98740221,2012,6,partially furnished,short term,yes,1,1
9,1,2022-05-19,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,5-ROOM,3500,1.403145259,103.900666,3,123.4680931,28.34740467,2012,5,partially furnished,flexible,no,1,1
10,1,2022-10-18,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,4-ROOM,3600,1.403145259,103.900666,3,101.6546551,35.4140201,2012,12,not furnished,2 years,yes,1,1
11,1,2023-01-02,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,4-ROOM,3400,1.403145259,103.900666,3,99.5070984,34.16841667,2012,2,not furnished,flexible,yes,1,1
12,1,2023-04-15,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,4-ROOM,3900,1.403145259,103.900666,3,101.3262596,38.48952893,2012,13,partially furnished,1 year,yes,1,1
13,1,2023-05-12,272A,PUNGGOL WALK,PUNGGOL RESIDENCES,821272,PUNGGOL,5-ROOM,4000,1.403145259,103.900666,3,118.8417163,33.65821468,2012,11,fully furnished,short term,yes,1,1
14,1,2021-01-12,168D,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,824168,PUNGGOL,4-ROOM,2050,1.393746768,103.9140016,3,99.6192263,20.57835697,1998,13,fully furnished,3 years,no,1,1
15,1,2021-04-15,168D,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,824168,PUNGGOL,4-ROOM,2600,1.393746768,103.9140016,3,96.76929248,26.86802738,1998,11,not furnished,short term,yes,1,1
16,1,2021-12-04,168D,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,824168,PUNGGOL,4-ROOM,2200,1.393746768,103.9140016,3,100.027459,21.99396068,1998,11,not furnished,3 years,yes,1,1
17,1,2023-02-16,168D,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,824168,PUNGGOL,4-ROOM,3500,1.393746768,103.9140016,3,97.84503318,35.77084995,1998,6,not furnished,2 years,yes,1,1
18,1,2023-05-16,168D,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,824168,PUNGGOL,4-ROOM,3600,1.393746768,103.9140016,3,102.8244454,35.01112976,1998,6,partially furnished,flexible,yes,1,1
19,1,2021-01-14,15,TECK WHYE LANE,TECK WHYE HEIGHTS III,680015,CHOA CHU KANG,4-ROOM,1600,1.379133573,103.7547387,3,101.681162,15.7354614,1973,6,fully furnished,1 year,no,1,1
20,1,2021-01-28,15,TECK WHYE LANE,TECK WHYE HEIGHTS III,680015,CHOA CHU KANG,4-ROOM,1800,1.379133573,103.7547387,3,100.7266887,17.87013971,1973,6,partially furnished,2 years,yes,1,1
21,1,2021-09-11,15,TECK WHYE LANE,TECK WHYE HEIGHTS III,680015,CHOA CHU KANG,4-ROOM,1800,1.379133573,103.7547387,3,97.31075647,18.49744124,1973,10,partially furnished,short term,no,1,1
22,1,2022-07-15,15,TECK WHYE LANE,TECK WHYE HEIGHTS III,680015,CHOA CHU KANG,4-ROOM,2800,1.379133573,103.7547387,3,97.61943445,28.68281317,1973,8,fully furnished,flexible,no,1,1
23,1,2022-12-06,15,TECK WHYE LANE,TECK WHYE HEIGHTS III,680015,CHOA CHU KANG,4-ROOM,2200,1.379133573,103.7547387,3,99.51426668,22.10738293,1973,15,partially furnished,1 year,no,1,1
24,1,2023-03-09,15,TECK WHYE LANE,TECK WHYE HEIGHTS III,680015,CHOA CHU KANG,4-ROOM,4000,1.379133573,103.7547387,3,98.28360786,40.69854666,1973,3,not furnished,2 years,no,1,1
25,1,2023-04-05,15,TECK WHYE LANE,TECK WHYE HEIGHTS III,680015,CHOA CHU KANG,4-ROOM,3500,1.379133573,103.7547387,3,101.4898927,34.48619272,1973,13,fully furnished,1 year,yes,1,1
26,1,2023-07-08,15,TECK WHYE LANE,TECK WHYE HEIGHTS III,680015,CHOA CHU KANG,4-ROOM,1300,1.379133573,103.7547387,3,94.43335957,13.76632162,1973,9,fully furnished,1 year,yes,1,1
27,1,2021-01-07,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,4-ROOM,1800,1.456546013,103.8167639,3,100.6480529,17.88410156,2007,14,fully furnished,flexible,no,1,1
28,1,2021-01-10,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,5-ROOM,2100,1.456546013,103.8167639,3,116.5359332,18.02019293,2007,12,fully furnished,flexible,no,1,1
29,1,2021-05-25,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,5-ROOM,1700,1.456546013,103.8167639,3,124.0868683,13.70007982,2007,3,fully furnished,1 year,no,1,1
30,1,2021-08-26,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,4-ROOM,1600,1.456546013,103.8167639,3,96.72045356,16.54251961,2007,9,fully furnished,3 years,yes,1,1
31,1,2021-09-22,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,4-ROOM,1800,1.456546013,103.8167639,3,97.29876045,18.4997218,2007,11,fully furnished,1 year,yes,1,1
32,1,2021-12-25,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,5-ROOM,1700,1.456546013,103.8167639,3,116.2520575,14.62339709,2007,3,not furnished,short term,no,1,1
33,1,2022-01-17,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,4-ROOM,2000,1.456546013,103.8167639,3,95.62979663,20.91398362,2007,7,not furnished,short term,no,1,1
34,1,2022-03-13,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,4-ROOM,2100,1.456546013,103.8167639,3,96.05134193,21.86330725,2007,3,fully furnished,flexible,yes,1,1
35,1,2022-06-16,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,5-ROOM,2605,1.456546013,103.8167639,3,121.9757302,21.35670756,2007,8,fully furnished,2 years,yes,1,1
36,1,2022-08-13,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,4-ROOM,1800,1.456546013,103.8167639,3,105.3589678,17.08444983,2007,12,fully furnished,flexible,no,1,1
37,1,2022-08-15,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,5-ROOM,1900,1.456546013,103.8167639,3,125.5489939,15.13353425,2007,14,not furnished,3 years,no,1,1
38,1,2022-12-27,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,5-ROOM,1950,1.456546013,103.8167639,3,119.236838,16.3540063,2007,8,fully furnished,2 years,no,1,1
39,1,2023-03-12,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,4-ROOM,3000,1.456546013,103.8167639,3,96.64801005,31.04047355,2007,14,not furnished,short term,yes,1,1
40,1,2023-07-28,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,4-ROOM,1800,1.456546013,103.8167639,3,99.97783972,18.00398973,2007,7,not furnished,short term,no,1,1
41,1,2023-08-05,493,ADMIRALTY LINK,SEMBAWANG GREEN,750493,SEMBAWANG,4-ROOM,2800,1.456546013,103.8167639,3,98.23865846,28.50201788,2007,14,partially furnished,flexible,no,1,1
42,1,2021-01-07,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,1700,1.270379512,103.823236,2,62.64456776,27.1372293,1983,10,not furnished,short term,no,1,1
43,1,2021-01-04,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,2200,1.270379512,103.823236,2,60.81427967,36.17571419,1983,3,partially furnished,3 years,yes,1,1
44,1,2021-02-26,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,1900,1.270379512,103.823236,2,62.9822798,30.16721538,1983,4,partially furnished,flexible,yes,1,1
45,1,2021-03-17,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,1800,1.270379512,103.823236,2,63.04876099,28.54933185,1983,3,not furnished,3 years,yes,1,1
46,1,2021-03-12,43,TELOK BLANGAH RISE,HDB-BUKIT MERAH,90043,BUKIT MERAH,3-ROOM,1900,1.270379512,103.823236,2,63.14908049,30.08753231,1983,3,fully furnished,short term,no,1,1
