,property_id,rent_approval_date,town,block,street_name,flat_type,monthly_rent,postal,latitude,longitude,building,number_of_bedrooms,floorsize,price_per_square_metre,year_built,floor_level,furnishing,lease_term,negotiable_pricing
0,1,2021-01-07,PUNGGOL,272A,PUNGGOL WALK,5-ROOM,2600,821272,1.403145,103.900666,PUNGGOL RESIDENCES,3,119.791859,21.704313,2012,5,fully furnished,2 years,no
1,2,2021-01-27,PUNGGOL,272A,PUNGGOL WALK,5-ROOM,2000,821272,1.403145,103.900666,PUNGGOL RESIDENCES,3,120.342552,16.619225,2012,2,not furnished,3 years,no
2,3,2021-02-26,PUNGGOL,272A,PUNGGOL WALK,4-ROOM,2300,821272,1.403145,103.900666,PUNGGOL RESIDENCES,3,101.773645,22.599171,2012,9,not furnished,short term,no
3,4,2021-02-05,PUNGGOL,272A,PUNGGOL WALK,4-ROOM,2100,821272,1.403145,103.900666,PUNGGOL RESIDENCES,3,99.207376,21.167781,2012,7,fully furnished,short term,yes
4,5,2021-07-24,PUNGGOL,272A,PUNGGOL WALK,5-ROOM,2600,821272,1.403145,103.900666,PUNGGOL RESIDENCES,3,121.445531,21.408775,2012,11,fully furnished,flexible,yes
5,6,2021-09-14,PUNGGOL,272A,PUNGGOL WALK,4-ROOM,2500,821272,1.403145,103.900666,PUNGGOL RESIDENCES,3,107.030646,23.357796,2012,2,fully furnished,flexible,yes
6,7,2022-03-18,PUNGGOL,272A,PUNGGOL WALK,4-ROOM,2000,821272,1.403145,103.900666,PUNGGOL RESIDENCES,3,97.24198,20.567249,2012,5,fully furnished,short term,yes
7,8,2022-04-25,PUNGGOL,272A,PUNGGOL WALK,4-ROOM,2850,821272,1.403145,103.900666,PUNGGOL RESIDENCES,3,98.318572,28.987402,2012,6,partially furnished,short term,yes
8,9,2022-05-19,PUNGGOL,272A,PUNGGOL WALK,5-ROOM,3500,821272,1.403145,103.900666,PUNGGOL RESIDENCES,3,123.468093,28.347405,2012,5,partially furnished,flexible,no
9,10,2022-10-18,PUNGGOL,272A,PUNGGOL WALK,4-ROOM,3600,821272,1.403145,103.900666,PUNGGOL RESIDENCES,3,101.654655,35.41402,2012,12,not furnished,2 years,yes
10,11,2023-01-02,PUNGGOL,272A,PUNGGOL WALK,4-ROOM,3400,821272,1.403145,103.900666,PUNGGOL RESIDENCES,3,99.507098,34.168417,2012,2,not furnished,flexible,yes
11,12,2023-04-15,PUNGGOL,272A,PUNGGOL WALK,4-ROOM,3900,821272,1.403145,103.900666,PUNGGOL RESIDENCES,3,101.32626,38.489529,2012,13,partially furnished,1 year,yes
12,13,2023-05-12,PUNGGOL,272A,PUNGGOL WALK,5-ROOM,4000,821272,1.403145,103.900666,PUNGGOL RESIDENCES,3,118.841716,33.658215,2012,11,fully furnished,short term,yes
13,14,2021-01-12,PUNGGOL,168D,PUNGGOL FIELD,4-ROOM,2050,824168,1.393747,103.914002,THE NAUTILUS @ PUNGGOL,3,99.619226,20.578357,1998,13,fully furnished,3 years,no
14,15,2021-04-15,PUNGGOL,168D,PUNGGOL FIELD,4-ROOM,2600,824168,1.393747,103.914002,THE NAUTILUS @ PUNGGOL,3,96.769292,26.868027,1998,11,not furnished,short term,yes
15,16,2021-12-04,PUNGGOL,168D,PUNGGOL FIELD,4-ROOM,2200,824168,1.393747,103.914002,THE NAUTILUS @ PUNGGOL,3,100.027459,21.993961,1998,11,not furnished,3 years,yes
16,17,2023-02-16,PUNGGOL,168D,PUNGGOL FIELD,4-ROOM,3500,824168,1.393747,103.914002,THE NAUTILUS @ PUNGGOL,3,97.845033,35.77085,1998,6,not furnished,2 years,yes
17,18,2023-05-16,PUNGGOL,168D,PUNGGOL FIELD,4-ROOM,3600,824168,1.393747,103.914002,THE NAUTILUS @ PUNGGOL,3,102.824445,35.01113,1998,6,partially furnished,flexible,yes
18,19,2021-01-14,CHOA CHU KANG,15,TECK WHYE LANE,4-ROOM,1600,680015,1.379134,103.754739,TECK WHYE HEIGHTS III,3,101.681162,15.735461,1973,6,fully furnished,1 year,no
19,20,2021-01-28,CHOA CHU KANG,15,TECK WHYE LANE,4-ROOM,1800,680015,1.379134,103.754739,TECK WHYE HEIGHTS III,3,100.726689,17.87014,1973,6,partially furnished,2 years,yes
20,21,2021-09-11,CHOA CHU KANG,15,TECK WHYE LANE,4-ROOM,1800,680015,1.379134,103.754739,TECK WHYE HEIGHTS III,3,97.310756,18.497441,1973,10,partially furnished,short term,no
21,22,2022-07-15,CHOA CHU KANG,15,TECK WHYE LANE,4-ROOM,2800,680015,1.379134,103.754739,TECK WHYE HEIGHTS III,3,97.619434,28.682813,1973,8,fully furnished,flexible,no
22,23,2022-12-06,CHOA CHU KANG,15,TECK WHYE LANE,4-ROOM,2200,680015,1.379134,103.754739,TECK WHYE HEIGHTS III,3,99.514267,22.107383,1973,15,partially furnished,1 year,no
23,24,2023-03-09,CHOA CHU KANG,15,TECK WHYE LANE,4-ROOM,4000,680015,1.379134,103.754739,TECK WHYE HEIGHTS III,3,98.283608,40.698547,1973,3,not furnished,2 years,no
24,25,2023-04-05,CHOA CHU KANG,15,TECK WHYE LANE,4-ROOM,3500,680015,1.379134,103.754739,TECK WHYE HEIGHTS III,3,101.489893,34.486193,1973,13,fully furnished,1 year,yes
25,26,2023-07-08,CHOA CHU KANG,15,TECK WHYE LANE,4-ROOM,1300,680015,1.379134,103.754739,TECK WHYE HEIGHTS III,3,94.43336,13.766322,1973,9,fully furnished,1 year,yes
26,27,2021-01-07,SEMBAWANG,493,ADMIRALTY LINK,4-ROOM,1800,750493,1.456546,103.816764,SEMBAWANG GREEN,3,100.648053,17.884102,2007,14,fully furnished,flexible,no
27,28,2021-01-10,SEMBAWANG,493,ADMIRALTY LINK,5-ROOM,2100,750493,1.456546,103.816764,SEMBAWANG GREEN,3,116.535933,18.020193,2007,12,fully furnished,flexible,no
28,29,2021-05-25,SEMBAWANG,493,ADMIRALTY LINK,5-ROOM,1700,750493,1.456546,103.816764,SEMBAWANG GREEN,3,124.086868,13.70008,2007,3,fully furnished,1 year,no
